# input: time
# iq_mode: freq
# time_shift: -82
# freq_shift: 0
# update_time: 25
# frames: 500
real,imag
0.062569592,0.11419525
0.29236432,-0.07568612
-0.056853701,-0.15781615
0.049067661,-0.0085258987
0.048329032,0.079665548
0.0050003642,-0.013681338
0.0051860359,0.023743734
-0.0091087864,0.0092774793
-0.013024129,0.0065011281
0.0037008754,0.023916857
8.4678538e-05,-0.0053611798
0.0021196923,0.004550057
-0.0056891602,-0.004008578
-0.0021949295,-0.00045827756
0.00073829359,0.0057917152
0.0010556375,0.001480078
0.00052176889,0.0020368713
-0.00088659246,-0.0010986488
0.00080815362,-8.5288947e-05
-0.0015299616,0.0025541073
8.6653977e-05,0.00045453693
-0.0020601853,-0.00016500038
0.0011769946,0.00063898135
-0.00019541119,0.00054704215
-0.00052681493,0.0014994352
-7.9555267e-05,-0.00060161557
-0.00091838797,6.1590712e-05
0.000727273,0.0003896956
-0.0011105855,0.00065245569
-4.8177718e-05,0.00036671278
-0.00031582448,-0.00018247808
8.2228235e-05,0.00031765692
0.00013158125,0.0003651869
-0.00029080371,8.4227066e-05
-0.00016166875,-9.4887744e-05
-0.00026575707,8.1653142e-05
-0.00016570944,0.00019928199
-4.0645463e-05,0.00039249754
0.00017932875,-6.2700721e-05
-5.0213226e-05,-2.750743e-05
-3.9214648e-05,-0.00013704707
-0.0002127845,6.3473288e-05
-7.2768945e-06,0.00022107744
5.1970131e-06,8.5434837e-05
-4.2021398e-05,5.606743e-05
4.017116e-05,-0.00012199778
-5.0680043e-05,7.6643506e-05
1.6226221e-05,5.9929693e-05
-9.5351021e-05,3.4824339e-05
-1.8313762e-06,-1.2759625e-05
2.5349235e-05,-1.1246814e-05
-1.7626983e-05,0.00012721737
-5.4266728e-06,2.3607877e-05
-4.1825129e-05,-1.4021084e-05
3.7422197e-05,-3.9154002e-05
3.6082228e-06,1.0060096e-05
-3.2958111e-05,3.6298629e-05
-1.2661007e-05,1.0742427e-07
1.5279022e-05,-7.8783537e-06
2.9336974e-05,9.8793018e-06
9.4063532e-06,1.4397085e-05
-1.9407642e-05,-9.1017556e-06
-3.1954526e-06,-5.6786662e-06
-4.2943907e-06,-4.5530846e-06
-3.3087492e-06,1.8296327e-05
1.0969498e-06,4.5536071e-06
-1.2044682e-06,-2.1039682e-06
5.7309169e-06,-2.5098478e-06
-4.7781777e-06,-3.2077686e-06
-3.9077366e-06,5.9774497e-06
-3.7246905e-06,3.0323279e-06
-1.7964905e-06,5.3456802e-06
-1.7296484e-07,1.0880344e-06
-1.1835479e-08,-1.021102e-07
4.9580661e-07,1.4298838e-06
-1.074845e-06,7.8698216e-07
-1.5007388e-06,6.3805677e-07
-3.6079224e-07,-2.7122963e-07
5.7980085e-07,8.2691854e-07
6.358289e-08,1.2153975e-06
-1.8054621e-07,4.1144498e-07
-7.4372282e-08,-2.5568402e-07
1.9087195e-07,-1.3829115e-07
